Area,Date,Category,Subcategory,Variable,Unit,Value
Argentina,2018-01-01,Electricity generation,Aggregate fuel,Clean,%,34.57
Argentina,2018-01-01,Electricity generation,Aggregate fuel,Fossil,%,65.44
Argentina,2018-01-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,63.4
Argentina,2018-01-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,29.08
Argentina,2018-01-01,Electricity generation,Aggregate fuel,Renewables,%,29.55
Argentina,2018-01-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.47
Argentina,2018-01-01,Electricity generation,Fuel,Bioenergy,%,0.16
Argentina,2018-01-01,Electricity generation,Fuel,Coal,%,2.04
Argentina,2018-01-01,Electricity generation,Fuel,Gas,%,61.05
Argentina,2018-01-01,Electricity generation,Fuel,Hydro,%,28.92
Argentina,2018-01-01,Electricity generation,Fuel,Nuclear,%,5.02
Argentina,2018-01-01,Electricity generation,Fuel,Other Fossil,%,2.35
Argentina,2018-01-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-01-01,Electricity generation,Fuel,Wind,%,0.47
Argentina,2018-02-01,Electricity generation,Aggregate fuel,Clean,%,33.17
Argentina,2018-02-01,Electricity generation,Aggregate fuel,Fossil,%,66.84
Argentina,2018-02-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,64.8
Argentina,2018-02-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,27.89
Argentina,2018-02-01,Electricity generation,Aggregate fuel,Renewables,%,28.32
Argentina,2018-02-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.43
Argentina,2018-02-01,Electricity generation,Fuel,Bioenergy,%,0.17
Argentina,2018-02-01,Electricity generation,Fuel,Coal,%,2.04
Argentina,2018-02-01,Electricity generation,Fuel,Gas,%,62.5
Argentina,2018-02-01,Electricity generation,Fuel,Hydro,%,27.72
Argentina,2018-02-01,Electricity generation,Fuel,Nuclear,%,4.85
Argentina,2018-02-01,Electricity generation,Fuel,Other Fossil,%,2.3
Argentina,2018-02-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-02-01,Electricity generation,Fuel,Wind,%,0.43
Argentina,2018-03-01,Electricity generation,Aggregate fuel,Clean,%,33.56
Argentina,2018-03-01,Electricity generation,Aggregate fuel,Fossil,%,66.44
Argentina,2018-03-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,64.2
Argentina,2018-03-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,28.74
Argentina,2018-03-01,Electricity generation,Aggregate fuel,Renewables,%,29.17
Argentina,2018-03-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.43
Argentina,2018-03-01,Electricity generation,Fuel,Bioenergy,%,0.17
Argentina,2018-03-01,Electricity generation,Fuel,Coal,%,2.24
Argentina,2018-03-01,Electricity generation,Fuel,Gas,%,62.22
Argentina,2018-03-01,Electricity generation,Fuel,Hydro,%,28.57
Argentina,2018-03-01,Electricity generation,Fuel,Nuclear,%,4.39
Argentina,2018-03-01,Electricity generation,Fuel,Other Fossil,%,1.98
Argentina,2018-03-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-03-01,Electricity generation,Fuel,Wind,%,0.43
Argentina,2018-04-01,Electricity generation,Aggregate fuel,Clean,%,34.98
Argentina,2018-04-01,Electricity generation,Aggregate fuel,Fossil,%,65.01
Argentina,2018-04-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,63.44
Argentina,2018-04-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,29.09
Argentina,2018-04-01,Electricity generation,Aggregate fuel,Renewables,%,29.64
Argentina,2018-04-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.55
Argentina,2018-04-01,Electricity generation,Fuel,Bioenergy,%,0.18
Argentina,2018-04-01,Electricity generation,Fuel,Coal,%,1.57
Argentina,2018-04-01,Electricity generation,Fuel,Gas,%,61.05
Argentina,2018-04-01,Electricity generation,Fuel,Hydro,%,28.91
Argentina,2018-04-01,Electricity generation,Fuel,Nuclear,%,5.34
Argentina,2018-04-01,Electricity generation,Fuel,Other Fossil,%,2.39
Argentina,2018-04-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-04-01,Electricity generation,Fuel,Wind,%,0.55
Argentina,2018-05-01,Electricity generation,Aggregate fuel,Clean,%,35.03
Argentina,2018-05-01,Electricity generation,Aggregate fuel,Fossil,%,64.97
Argentina,2018-05-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,63.79
Argentina,2018-05-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,27.66
Argentina,2018-05-01,Electricity generation,Aggregate fuel,Renewables,%,28.21
Argentina,2018-05-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.55
Argentina,2018-05-01,Electricity generation,Fuel,Bioenergy,%,0.27
Argentina,2018-05-01,Electricity generation,Fuel,Coal,%,1.18
Argentina,2018-05-01,Electricity generation,Fuel,Gas,%,62.33
Argentina,2018-05-01,Electricity generation,Fuel,Hydro,%,27.39
Argentina,2018-05-01,Electricity generation,Fuel,Nuclear,%,6.82
Argentina,2018-05-01,Electricity generation,Fuel,Other Fossil,%,1.46
Argentina,2018-05-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-05-01,Electricity generation,Fuel,Wind,%,0.55
Argentina,2018-06-01,Electricity generation,Aggregate fuel,Clean,%,34.12
Argentina,2018-06-01,Electricity generation,Aggregate fuel,Fossil,%,65.88
Argentina,2018-06-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,63.44
Argentina,2018-06-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,27.38
Argentina,2018-06-01,Electricity generation,Aggregate fuel,Renewables,%,28.11
Argentina,2018-06-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.73
Argentina,2018-06-01,Electricity generation,Fuel,Bioenergy,%,0.41
Argentina,2018-06-01,Electricity generation,Fuel,Coal,%,2.44
Argentina,2018-06-01,Electricity generation,Fuel,Gas,%,61.33
Argentina,2018-06-01,Electricity generation,Fuel,Hydro,%,26.97
Argentina,2018-06-01,Electricity generation,Fuel,Nuclear,%,6.01
Argentina,2018-06-01,Electricity generation,Fuel,Other Fossil,%,2.11
Argentina,2018-06-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-06-01,Electricity generation,Fuel,Wind,%,0.73
Argentina,2018-07-01,Electricity generation,Aggregate fuel,Clean,%,34.88
Argentina,2018-07-01,Electricity generation,Aggregate fuel,Fossil,%,65.11
Argentina,2018-07-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,62.73
Argentina,2018-07-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,28.75
Argentina,2018-07-01,Electricity generation,Aggregate fuel,Renewables,%,29.44
Argentina,2018-07-01,Electricity generation,Aggregate fuel,Wind and Solar,%,0.69
Argentina,2018-07-01,Electricity generation,Fuel,Bioenergy,%,0.38
Argentina,2018-07-01,Electricity generation,Fuel,Coal,%,2.38
Argentina,2018-07-01,Electricity generation,Fuel,Gas,%,60.51
Argentina,2018-07-01,Electricity generation,Fuel,Hydro,%,28.37
Argentina,2018-07-01,Electricity generation,Fuel,Nuclear,%,5.44
Argentina,2018-07-01,Electricity generation,Fuel,Other Fossil,%,2.22
Argentina,2018-07-01,Electricity generation,Fuel,Solar,%,0.0
Argentina,2018-07-01,Electricity generation,Fuel,Wind,%,0.69
Argentina,2018-08-01,Electricity generation,Aggregate fuel,Clean,%,36.14
Argentina,2018-08-01,Electricity generation,Aggregate fuel,Fossil,%,63.86
Argentina,2018-08-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,61.71
Argentina,2018-08-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,29.44
