Country,Start (data),End (data),"VRE ramp-up (pp, 12MA end-start)",Hydro swing min (pp),Hydro swing min date,Hydro swing max (pp),Hydro swing max date,Hydro stress months (<-10pp),Coverage months,"Backup response corr(ΔHydro,ΔThermal)",Backup slope: ΔThermal per 1pp Hydro drop,N_changes
Chile,2018-12-01,2025-10-01,24.914166666666674,-13.670833333333333,2021-04-01,16.312222222222218,2023-11-01,5,94,-0.8989324204639364,0.9792030251012841,93
Brazil,2018-12-01,2025-10-01,20.585833333333333,-22.007222222222225,2021-08-01,8.580277777777766,2022-04-01,13,94,-0.7623569106676326,0.49238174577063143,93
Argentina,2018-12-01,2025-10-01,15.466666666666663,-11.786944444444442,2021-08-01,17.44055555555555,2023-10-01,4,94,-0.8578778948458166,0.9087713014043852,93
El Salvador,2019-12-01,2024-12-01,12.271666666666667,-22.030555555555555,2023-06-01,27.48222222222222,2024-09-01,17,72,-0.5109285949725364,0.41496380644352865,71
Colombia,2018-12-01,2025-07-01,5.221666666666668,-17.871944444444438,2024-03-01,8.606944444444451,2021-11-01,7,91,-0.9953659224423649,0.9778287670546781,90
Peru,2019-12-01,2025-10-01,4.845833333333332,-20.878333333333337,2023-09-01,15.54527777777777,2025-01-01,15,82,-0.9929664476661868,1.007542497731581,81
Mexico,2019-12-01,2025-10-01,3.5999999999999996,-5.068611111111112,2024-02-01,6.733611111111111,2022-09-01,0,82,-0.45449728088743474,0.4774909384788192,81
Dominican Republic,2023-09-01,2025-09-01,3.163333333333334,,,,,0,36,-0.4240511019278794,0.7298553302603095,35
Bolivia,2019-12-01,2025-10-01,3.0374999999999996,-17.34138888888889,2022-10-01,15.063333333333333,2025-04-01,8,82,-0.959378193025232,0.9291919144894607,81
Uruguay,2019-12-01,2025-10-01,2.0275000000000034,-24.303888888888885,2022-01-01,22.54555555555556,2022-08-01,7,82,-0.5698999400308885,0.44315775395588863,81
Ecuador,2019-12-01,2025-09-01,0.25916666666666677,-27.08694444444445,2024-11-01,8.657499999999999,2025-07-01,12,81,-0.9846267216879183,0.958509421674295,80
Costa Rica,2019-12-01,2025-10-01,-5.091666666666667,-24.03944444444445,2024-04-01,15.510555555555555,2024-11-01,9,82,-0.6570664764096673,0.34892537209134655,81
