Country,Year,months_available,avg_dev_pp,p95_dev_pp
Argentina,2018,12,1.1842378929335002e-15,0.010000000000005116
Argentina,2019,12,-0.002499999999996542,0.01999999999999602
Argentina,2020,12,-0.0016666666666651508,0.01450000000000741
Argentina,2021,12,-0.0016666666666627823,0.010000000000005116
Argentina,2022,12,-0.0033333333333350388,0.020000000000002415
Argentina,2023,12,-0.0016666666666687036,0.010000000000005116
Argentina,2024,12,0.00333333333333267,0.014500000000001016
Argentina,2025,10,0.0,0.010000000000005116
Bolivia,2019,12,-2.3684757858670005e-15,0.0099999999999973
Bolivia,2020,12,0.001666666666666335,0.010000000000005116
Bolivia,2021,12,-0.0008333333333325754,0.01000000000001151
Bolivia,2022,12,0.0008333333333337597,0.009999999999990905
Bolivia,2023,12,-0.0025000000000000946,0.010000000000005116
Bolivia,2024,12,-0.004166666666664061,0.010000000000005116
Bolivia,2025,10,-0.0020000000000038654,0.015500000000007919
Brazil,2018,12,-0.0024999999999989106,0.01000000000001151
Brazil,2019,12,0.00333333333333267,0.010000000000019327
Brazil,2020,12,-0.005000000000004927,0.01000000000001151
Brazil,2021,12,-0.0008333333333313911,0.01000000000001151
Brazil,2022,12,-0.0016666666666687036,0.01000000000001151
Brazil,2023,12,0.0025000000000000946,0.014500000000008832
Brazil,2024,12,0.0008333333333349439,0.010000000000005116
Brazil,2025,10,-0.001999999999999602,0.010000000000005116
Chile,2018,12,0.0016666666666651508,0.010000000000005116
Chile,2019,12,0.000833333333330207,0.020000000000010232
Chile,2020,12,-0.0008333333333337597,0.010000000000005116
Chile,2021,12,-0.0033333333333338544,0.010000000000005116
Chile,2022,12,0.0024999999999977263,0.014500000000001016
Chile,2023,12,0.0025000000000000946,0.010000000000005116
Chile,2024,12,0.0008333333333337597,0.014500000000001016
Chile,2025,10,1.4210854715202005e-15,0.010000000000005116
Colombia,2018,12,-0.003333333333331486,0.010000000000005116
Colombia,2019,12,0.001666666666671072,0.014500000000002438
Colombia,2020,12,-0.0008333333333266543,0.01000000000001151
Colombia,2021,12,0.0008333333333349439,0.014500000000001016
Colombia,2022,12,0.00416666666666643,0.010000000000005116
Colombia,2023,12,2.3684757858670005e-15,0.0099999999999973
Colombia,2024,12,-0.0024999999999989106,0.010000000000005116
Colombia,2025,7,0.0028571428571422886,0.010000000000000852
Costa Rica,2019,12,0.001666666666666335,0.0099999999999973
Costa Rica,2020,12,0.0008333333333325754,0.010000000000005116
Costa Rica,2021,12,0.0008333333333349439,0.010000000000005116
Costa Rica,2022,12,0.0008333333333325754,0.009999999999990905
Costa Rica,2023,12,-0.0033333333333338544,0.010000000000005116
Costa Rica,2024,12,0.0008333333333337597,0.010000000000005116
Costa Rica,2025,10,-0.001999999999998181,0.009999999999998722
Dominican Republic,2022,3,-0.0033333333333350388,0.009000000000004603
Dominican Republic,2023,12,0.0016666666666651508,0.01999999999999602
Dominican Republic,2024,12,0.0008333333333337597,0.01000000000001151
Dominican Republic,2025,9,-0.004444444444443561,0.01999999999999602
Ecuador,2019,12,-0.0025000000000000946,0.010000000000005116
Ecuador,2020,12,0.0016666666666687036,0.01450000000000741
Ecuador,2021,12,0.0,0.014500000000001016
Ecuador,2022,12,0.0008333333333290227,0.010000000000005116
Ecuador,2023,12,-0.0024999999999977263,0.0099999999999973
Ecuador,2024,12,0.002500000000001279,0.010000000000005116
Ecuador,2025,9,-6.315935428978668e-15,0.010000000000005116
El Salvador,2019,12,0.0016666666666675194,0.01450000000000741
El Salvador,2020,12,0.001666666666666335,0.010000000000005116
El Salvador,2021,12,0.0024999999999989106,0.020000000000002415
El Salvador,2022,12,-0.001666666666666335,0.010000000000005116
El Salvador,2023,12,0.001666666666666335,0.010000000000005116
El Salvador,2024,12,0.003333333333331486,0.010000000000005116
Mexico,2019,12,0.0,0.01999999999999602
Mexico,2020,12,0.0025000000000000946,0.010000000000005116
Mexico,2021,12,0.0025000000000024634,0.01000000000001151
Mexico,2022,12,-0.0024999999999977263,0.010000000000005116
Mexico,2023,12,0.006666666666664156,0.014500000000001016
Mexico,2024,12,0.0025000000000000946,0.01450000000000741
Mexico,2025,10,0.0,0.010000000000005116
Peru,2019,12,-0.0008333333333349439,0.010000000000005116
Peru,2020,12,0.0008333333333290227,0.010000000000005116
Peru,2021,12,0.0016666666666675194,0.010000000000005116
Peru,2022,12,0.0,0.010000000000005116
Peru,2023,12,0.001666666666666335,0.010000000000005116
Peru,2024,12,-0.0016666666666675194,0.010000000000005116
Peru,2025,10,0.0,0.010000000000005116
Uruguay,2019,12,-0.0016666666666639667,0.01000000000001151
Uruguay,2020,12,-0.0008333333333290227,0.01000000000001151
Uruguay,2021,12,-0.0008333333333313911,0.010000000000019327
Uruguay,2022,12,0.001666666666666335,0.010000000000005116
Uruguay,2023,12,-0.0025000000000036473,0.014500000000015226
Uruguay,2024,12,0.0008333333333349439,0.010000000000005116
Uruguay,2025,10,0.0009999999999976694,0.005500000000001382
