Technology,Period,Start (MW),End (MW),Net Additions (MW),CAGR (%)
Non-renewable thermal,2000-2024,80615.76,178965.72,98349.96,3.38
Non-renewable thermal,2000-2012,80615.76,138765.78,58150.02,4.63
Non-renewable thermal,2012-2018,138765.78,168053.03,29287.25,3.24
Non-renewable thermal,2018-2024,168053.03,178965.72,10912.69,1.05
Wind,2000-2024,4.08,50316.47,50312.39,48.06
Wind,2000-2012,4.08,3436.12,3432.03,75.29
Wind,2012-2018,3436.12,25256.93,21820.81,39.44
Wind,2018-2024,25256.93,50316.47,25059.54,12.17
Hydro,2000-2024,123639.75,201963.84,78324.09,2.07
Hydro,2000-2012,123639.75,160089.79,36450.04,2.18
Hydro,2012-2018,160089.79,191271.46,31181.67,3.01
Hydro,2018-2024,191271.46,201963.84,10692.38,0.91
Total Solar,2000-2024,3.19,117015.92,117012.73,101.51
Total Solar,2000-2012,3.19,108.95,105.76,224.43
Total Solar,2012-2018,108.95,9583.89,9474.94,110.89
Total Solar,2018-2024,9583.89,117015.92,107432.03,51.75
