Auction program and round,Status,Market,Region,Sector,Bid type,Auction category,Auction type,Contract type ,Contract duration (years),Contract duration (months),Payment currency,Indexation,Notes,Average price (local currency per megawatt-hour),Average price (US dollars per megawatt-hour),Average price (local currency per megawatt),Target capacity min (megawatts),Target capacity max (megawatts),Target energy sold (megawatt-hour),Subsector of awarded capacity,Technology groups in auction round,Procured energy (megawatt-hour),Allocated capacity (megawatts),Bid capacity (megawatts),Participation - bids vs. allocated capacity (%),Participation - allocated capacity vs. target (%),Auction year,Announce-ment year,Auction open date,Project commissioning deadline,Price
Australia Powering Queensland Plan - Renewables,Completed,Australia,Australia,Solar,Standalone,Auction,Pay_As_Bid,Unknown,10.00,0.00,AUD,Fixed,Price per MWh not disclosed,,,,0.00,400.00,,PV,Unknown,0.00,400.00,400.00,100%,100%,2012,2012,,9/1/2024,
ACT Solar Round 1 Fast-track,Completed,Australia,Australia,Solar,Standalone,Auction,Pay_As_Bid,Unknown,20.00,0.00,AUD,Fixed,,186.00,179.43,,,,,PV,Unknown,0.00,20.00,20.00,100%,#N/A,2013,2013,,,179.4327609
ACT Solar Round 1 Regular Stream,Completed,Australia,Australia,Solar,Standalone,Auction,Pay_As_Bid,Unknown,20.00,0.00,AUD,Fixed,,181.70,136.42,,,,,PV,Unknown,0.00,20.00,20.00,100%,#N/A,2015,2015,,,136.4208459
ACT Wind Round 1,Completed,Australia,Australia,Wind,Standalone,Auction,Pay_As_Bid,Unknown,20.00,0.00,AUD,Fixed,,89.09,66.23,,,,,Onshore wind,Unknown,0.00,200.00,200.00,100%,#N/A,2016,2016,,,66.23494424
ACT Wind Round 2,Completed,Australia,Australia,Wind,Standalone,Auction,Pay_As_Bid,Unknown,20.00,0.00,AUD,Fixed,,83.05,61.75,,,,,Onshore wind,Unknown,0.00,200.00,200.00,100%,#N/A,2016,2016,,,61.7472119
South Australian Grid-connected battery storage,Completed,Australia,Australia,Energy_Storage,Standalone,Project_Tender,Unknown,Unknown,15.00,0.00,AUD,Fixed,Price per MWh not disclosed,,,,0.00,100.00,,Battery storage,Unknown,80.00,200.00,200.00,100%,200%,2017,2017,,12/31/2017,
Victorian Government Storage Initiative,Completed,Australia,Australia,Energy_Storage,Standalone,Project_Tender,Unknown,Capex_Support,15.00,0.00,AUD,Fixed,Price per MWh not disclosed,,,,0.00,40.00,,Battery storage,Unknown,,55.00,55.00,100%,138%,2017,2017,,1/1/2018,
South Australian 150MW Solar Thermal Tender,Completed,Australia,Australia,Solar,Standalone,Project_Tender,Unknown,Unknown,15.00,0.00,AUD,Fixed,,78.00,59.78,,0.00,150.00,,Solar thermal,Unknown,0.00,150.00,150.00,100%,100%,2017,2017,,,59.77927652
ACT Wind Round 3,Completed,Australia,Australia,Wind,Standalone,Auction,Pay_As_Bid,Unknown,20.00,0.00,AUD,Fixed,,79.18,60.68,,0.00,200.00,,Onshore wind,Unknown,0.00,202.00,202.00,100%,101%,2017,2017,,,60.68362968
ACT Wind 2020 Fixed,Completed,Australia,Australia,Wind,Standalone,Auction,Pay_As_Bid,Unknown,14.00,0.00,AUD,Fixed,,44.97,30.96,,0.00,100.00,,Onshore wind,Unknown,0.00,100.00,100.00,100%,100%,2020,2020,,,30.96041308
