,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Resultado dos Leilões de Energia Elétrica - Resumo Vendedor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Importante: O conteúdo desta publicação foi produzido pela CCEE com base em dados e informações de conhecimento público. É de responsabilidade exclusiva dos agentes e demais interessados a obtenção de outros dados e informações, a realização de análises, estudos e avaliações para fins de tomada de decisões, definição de estratégias de atuação, assunção de compromissos e obrigações e quaisquer outras finalidades, em qualquer tempo e sob qualquer condição. É proibida a reprodução ou utilização total ou parcial do presente sem a identificação da fonte. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Colunas referentes aos resultados originais dos leilões.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Colunas referentes às informações passíveis de alteração ou atualização, conforme regulamentação, que podem ser diferentes dos resultados originais dos leilões.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,#REF!,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"OBS.: NÃO UTILIZAR OS DADOS ANTES DE VERIFICAR A COLUNA ""SITUAÇÃO"" E AS PLANILHAS ""GLOSSÁRIO"" E ""NOTAS EXPLICATIVAS"".",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ID Resultado Vendedor,Ano do Leilão,Tipo Leilão,Leilão,Denominação do Leilão,Edital do Leilão ANEEL,Sigla Vendedor,CNPJ,Produto,CEG,Nome da Usina,Situação,UF,Fonte,Rio/Combustível,Submercado,Investimento na Data do Leilão (R$),Investimento Atualizado (R$),"Potência
(MW)",Potência Injetada (MW),Disponibilidade de Potência (MW),"Potência C.C
(MWp)","Garantia Física
(MW médio)",Fator Lote,"Lotes
Contratados
no ano A","Lotes
Contratados
no ano A+1","Lotes
Contratados
nos demais anos","Energia
Contratada no ano A
(MW médio)","Energia
Contratada no ano A+1
(MW médio)","Energia
Contratada no ano A+2
(MW médio)","Energia
Contratada no ano A+3
(MW médio)","Energia Contratada 
nos demais anos
(MW médio)","Total de energia contratada
(MWh)","Preço de
Venda na Data do Leilão
(R$/MWh)",Unidade de Preço,"ICE
(R$/MWh)","CVU
(R$/MWh)",Montante Financeiro Data Leilão (R$),"Preço de
Venda Atualizado
(R$/MWh)",Montante Financeiro Atualizado (R$),"Receita Fixa
no ano A
(R$/ano)","Receita Fixa
no ano A+1
(R$/ano)","Receita Fixa 
nos demais anos
(R$/ano)",Início Suprimento,Fim Suprimento,Entrega Escalonada,IPCA na Data do leilão,IPCA do mês anterior
,1,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,ELETRONORTE,00.357.038/0001-16,2007-08,-,-,Sem Pendências,-,-,-,N,0.00,#REF!,0.000,,,0.000,0.000,1.0,550,550,550,550.000,550.000,550.000,550.000,550.000,"38,570,400.000",77.00,R$/MWh,0.00,0.00,"2,969,920,800.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2007,12/31/2014,Não,"2,378.47",#REF!
,2,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,EMAE,02.302.101/0001-42,2006-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,33,33,33,33.000,33.000,33.000,33.000,33.000,"2,314,224.000",69.21,R$/MWh,0.00,0.00,"160,167,443.04",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
,3,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,ENERGEST,04.029.601/0001-88,2006-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,27,27,27,27.000,27.000,27.000,27.000,27.000,"1,893,456.000",64.00,R$/MWh,0.00,0.00,"121,181,184.00",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
,4,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,ELETRONORTE,00.357.038/0001-16,2006-08,-,-,Sem Pendências,-,-,-,N,0.00,#REF!,0.000,,,0.000,0.000,1.0,328,328,328,328.000,328.000,328.000,328.000,328.000,"23,001,984.000",63.90,R$/MWh,0.00,0.00,"1,469,826,777.60",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
,5,2004,LEE,01ºLEE,Leilão de Energia Existente,001/2004,FURNAS,23.274.194/0001-19,2006-08,-,-,Sem Pendências,-,-,-,SE,0.00,#REF!,0.000,,,0.000,0.000,1.0,"2,350","2,350","2,350","2,350.110","2,350.110","2,350.110","2,350.110","2,350.110","164,808,514.080",69.58,R$/MWh,0.00,0.00,"11,467,376,409.69",#REF!,#REF!,0.00,0.00,0.00,1/1/2006,12/31/2013,Não,"2,378.47",#REF!
