Country, Total installed capacity 
Afghanistan,799.45
Albania,2925.02
Algeria,28733.56
American Samoa,55.32
Andorra,61.43
Angola,6499.23
Anguilla,25.34
Antigua and Barbuda,125.43
Argentina,44699.17
Armenia,4069.3
Aruba,281.8
Australia,114619.21
Austria,33972.53
Azerbaijan,8414.92
Bahamas,960.56
Bahrain,9953.7
Bangladesh,29751.3
Barbados,368.05
Belarus,12689
Belgium,28699.96
Belize,244.8
Benin,336.76
Bhutan,2464.62
Bolivia,3985.63
Bonaire,61.05
Bosnia and Herzegovina,4954.32
Botswana,927.3
Brazil,246236.8
British Virgin Islands,66.37
Brunei Darussalam,1231.2
Bulgaria,14021.99
Burkina Faso,635.54
Burundi,127.31
Cabo Verde,215.53
Cambodia,4344.18
Cameroon,1579.23
Canada,154776.5
Cayman Islands,220.95
Central African Republic,131.27
Chad,286.84
Chile,37460.65
China,3349676.01
Hong Kong,11575.76
Taipei,67794.54
Colombia,21368.14
Comoros ,26.12
Congo,850.5
Cook Islands,24.09
Costa Rica,3692.24
Ivory Coast,2922.22
Croatia,5712.8
Cuba,6712.78
Curaçao,288.31
Cyprus,2396.78
Czech Republic,23127.29
North Koreo,8454.84
DRC,3701.49
Denmark,17943.65
Djibouti,203.43
Dominica,27.04
Dominican Republic,6847.9
Ecuador,9099.71
Egypt,61177.28
El Salvador,3017.39
Equatorial Guinea,401.12
Eritrea,231.61
Estonia,3598
Eswatini,207.38
Ethiopia,6088.28
Falkland Islands,16.99
Faroe Islands,224.24
Fiji,462.55
Finland,25335.71
France,156764.74
French Guiana,397.97
French Polynesia,338.4
Gabon,714.32
Gambia,185.74
Georgia,4757.8
Germany,275869.77
Ghana,5893.97
Greece,27696.08
Greenland,189.26
Grenada,69.86
Guadeloupe,576.26
Guam,545.07
Guatemala,3825.37
Guinea,1259.1
Guinea-Bissau,29.98
Guyana,384.34
Haiti,482.26
Honduras,3314.5
Hungary,16331
Iceland,3019.35
India,533900.6
Indonesia,101247.79
Iran,96085.07
Iraq,33966.92
Ireland,13267.11
Israel,23792.78
Italy,137530.88
Jamaica,1671.36
Japan,366919.52
Jordan,7177.9
Kazakhstan,24776.72
Kenya,3665.68
Kiribati,10.63
Kosovo,1566.44
Kuwait,20329.26
Kyrgyzstan,4181.98
Lao People's Democratic Republic,12023.44
Latvia,3341.47
Lebanon,4154.42
Lesotho,105.2
Liberia,194.13
Libya,11424.33
Lithuania,7236
Luxembourg,2236.57
Madagascar,874.6
Malawi,652.54
Malaysia,39020.85
Maldives,600.41
Mali,1244.6
Malta,721.33
Marshall Islands (the),40.46
Martinique,560.72
Mauritania,798.41
Mauritius,941.49
Mayotte,130.23
Mexico,120065.35
Micronesia (Federated States of),48.4
Mongolia,1611.26
Montenegro,1069.84
Montserrat,11.46
Morocco,12051.93
Mozambique,3059.26
Myanmar,7187.69
Namibia,790.69
Nauru,26.86
Nepal,3528.74
Netherlands,61674.24
New Caledonia,1370.1
New Zealand,10998.01
Nicaragua,1649.11
Niger,531.59
Nigeria,14546.91
Niue,4.18
North Macedonia,2958.9
Norway,41190.67
Oman,11589.09
Pakistan,50310.32
Palau,50.02
Panama,4495.04
Papua New Guinea,1136.07
Paraguay,8892.79
Peru,16211.12
Philippines,31016.67
Poland,65834.59
Portugal,25875.01
Puerto Rico,7209.45
Qatar,12287.1
South Korea,158041.62
Republic of Moldova (the),3481.08
Réunion,1163.4
Romania,21686.98
Russia,251133.68
Rwanda,395.22
Saint Barthélemy,40.4
Saint Kitts and Nevis,87.01
Saint Lucia,93.56
Saint Martin (French Part),58.7
Saint Pierre and Miquelon,26.2
Saint Vincent and the Grenadines,57.36
Samoa,80.09
Sao Tome and Principe,30.77
Saudi Arabia,94443.37
Senegal,1900.54
Serbia,8797.75
Seychelles,131.15
Sierra Leone,253.81
Singapore,12527.73
Sint Maarten (Dutch Part),129
Slovakia,7284
Slovenia,5051.31
Solomon Islands,63.82
Somalia,155.46
South Africa,65235.47
South Georgia and the South Sandwich Islands,0.33
South Sudan,228.14
Spain,135672.43
Sri Lanka,5715.23
State of Palestine (the),218.88
Sudan,3806.29
Suriname,703.59
Sweden,53341
Switzerland,28643.23
Syrian Arab Republic (the),10182.31
Tajikistan,6455.54
Thailand,60599.06
Timor-Leste,346.48
Togo,352.87
Tokelau,1.17
Tonga,36.54
Trinidad and Tobago,2044.88
Tunisia,7157.92
Turkey,116288.5
Turkmenistan,7002.31
Turks and Caicos Islands,104.09
Tuvalu,7.69
Uganda,1920.93
Ukraine,20225
United Arab Emirates,47788
United Kingdom,107290.1
United Republic of Tanzania (the),2756.65
United States of America,1278480.6
United States Virgin Islands,360.29
Uruguay,5305.47
Uzbekistan,21183.85
Vanuatu,35.68
Venezuela,35818.19
Viet Nam,84625.08
Yemen,2148.24
Zambia,3928.49
Zimbabwe,3136.94
