Country,Total renewable,Solar PV,Onshore Wind,Renewable Hydro,Solid biofuels,Renewable municipal waste,Liquid biofuels,Biogas,Geothermal Energy
Argentina,15636.83,1740.6,4320.32,9195.49,295.95,-,-,84.47,-
Bahamas (the),22.56,21.34,0.3,-,-,-,-,0.93,-
Barbados,70.51,69.35,1.16,-,-,-,-,-,-
Belize,97.63,6.96,0.02,55.15,35.5,-,-,-,-
Bolivia (Plurinational State of),1297.61,177.07,135,717.01,268.53,-,-,-,-
Brazil,213863.9,53115.78,32959.31,109981.65,17250.29,13.76,17.5,525.57,-
Chile,23684.12,10789.26,4716.9,7464.87,462.8,-,-,58.46,83.58
Colombia,15038.83,1392.46,33.8,13224.34,375.68,2,-,10.55,-
Costa Rica,3171.28,72.55,402.34,2352.97,75.5,-,-,5.26,262.66
Dominican Republic (the),2563.84,1422.59,432.7,625.16,79.05,-,-,4.34,-
Ecuador,5481.47,31.55,71.13,5215.17,155.3,-,-,8.32,-
El Salvador,1858.01,647.99,54,642.87,295.4,-,-,8.35,209.4
Guatemala,2703.63,101.9,107.4,1575.11,864.16,-,-,5.86,49.2
Guyana,65.36,17.49,0.04,3.05,44.79,-,-,-,-
Haiti,81.89,3.88,0.02,77.99,-,-,-,-,-
Honduras,1966.2,553.81,238.9,909.63,221.07,-,-,3.78,39
Jamaica,280.7,116.57,102,30,32.13,-,-,-,-
Mexico,34036.24,11975.13,7317.72,12838.01,816.99,-,-,72.89,998.5
Nicaragua,765.89,35.99,186.2,160.05,218.2,-,-,0.01,165.44
Panama,3030.98,743.16,336,1848.44,92,-,-,11.37,-
Paraguay,8866.6,1.17,0.02,8824,39,-,-,2.42,-
Peru,7368.53,527.73,1150.69,5522.55,154.76,-,-,12.8,-
Suriname,191.39,9.85,-,180.04,1.5,-,-,-,-
Trinidad and Tobago,4.63,4.62,0.01,-,-,-,-,-,-
Uruguay,4128.77,329.77,1523.8,1538,728.6,-,-,8.6,-
Venezuela (Bolivarian Republic of),17024.07,4.06,50.2,16913.81,56,-,-,-,-
