area,year,variable_type,source,value,unit
América Latina y el Caribe,2000,capacity,Hidroenergía,123639.7513,MW
América Latina y el Caribe,2000,capacity,Geotermia,1249.508,MW
América Latina y el Caribe,2000,capacity,Eólica,4.083133,MW
América Latina y el Caribe,2000,capacity,Nuclear,4335.88,MW
América Latina y el Caribe,2000,capacity,Solar,0.011,MW
América Latina y el Caribe,2000,capacity,Térmica no renovable,80615.76287,MW
América Latina y el Caribe,2000,capacity,Térmica renovable,3033.351554,MW
América Latina y el Caribe,2001,capacity,Hidroenergía,125580.0533,MW
América Latina y el Caribe,2001,capacity,Geotermia,1232.253,MW
América Latina y el Caribe,2001,capacity,Eólica,43.883133,MW
América Latina y el Caribe,2001,capacity,Nuclear,4335.88,MW
América Latina y el Caribe,2001,capacity,Solar,0.011,MW
América Latina y el Caribe,2001,capacity,Térmica no renovable,84367.75476,MW
América Latina y el Caribe,2001,capacity,Térmica renovable,3187.919886,MW
América Latina y el Caribe,2002,capacity,Hidroenergía,127905.6465,MW
América Latina y el Caribe,2002,capacity,Geotermia,1244.793,MW
América Latina y el Caribe,2002,capacity,Eólica,45.383133,MW
América Latina y el Caribe,2002,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2002,capacity,Solar,0.011,MW
América Latina y el Caribe,2002,capacity,Térmica no renovable,90849.12895,MW
América Latina y el Caribe,2002,capacity,Térmica renovable,3347.780145,MW
América Latina y el Caribe,2003,capacity,Hidroenergía,131190.1518,MW
América Latina y el Caribe,2003,capacity,Geotermia,1379.353,MW
América Latina y el Caribe,2003,capacity,Eólica,94.133133,MW
América Latina y el Caribe,2003,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2003,capacity,Solar,0.017096,MW
América Latina y el Caribe,2003,capacity,Térmica no renovable,97641.60559,MW
América Latina y el Caribe,2003,capacity,Térmica renovable,3889.706259,MW
América Latina y el Caribe,2004,capacity,Hidroenergía,135773.0126,MW
América Latina y el Caribe,2004,capacity,Geotermia,1372.353,MW
América Latina y el Caribe,2004,capacity,Eólica,141.833133,MW
América Latina y el Caribe,2004,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2004,capacity,Solar,0.017096,MW
América Latina y el Caribe,2004,capacity,Térmica no renovable,102187.1427,MW
América Latina y el Caribe,2004,capacity,Térmica renovable,4257.528173,MW
América Latina y el Caribe,2005,capacity,Hidroenergía,138691.3776,MW
América Latina y el Caribe,2005,capacity,Geotermia,1382.353,MW
América Latina y el Caribe,2005,capacity,Eólica,131.868133,MW
América Latina y el Caribe,2005,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2005,capacity,Solar,0.736104,MW
América Latina y el Caribe,2005,capacity,Térmica no renovable,102313.5269,MW
América Latina y el Caribe,2005,capacity,Térmica renovable,4649.483921,MW
América Latina y el Caribe,2006,capacity,Hidroenergía,141804.3789,MW
América Latina y el Caribe,2006,capacity,Geotermia,1382.353,MW
América Latina y el Caribe,2006,capacity,Eólica,348.288133,MW
América Latina y el Caribe,2006,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2006,capacity,Solar,0.823524,MW
América Latina y el Caribe,2006,capacity,Térmica no renovable,107147.396,MW
América Latina y el Caribe,2006,capacity,Térmica renovable,4825.755201,MW
América Latina y el Caribe,2007,capacity,Hidroenergía,147663.9195,MW
América Latina y el Caribe,2007,capacity,Geotermia,1447.648,MW
América Latina y el Caribe,2007,capacity,Eólica,463.028133,MW
América Latina y el Caribe,2007,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2007,capacity,Solar,2.052784,MW
América Latina y el Caribe,2007,capacity,Térmica no renovable,111386.8856,MW
América Latina y el Caribe,2007,capacity,Térmica renovable,5559.64,MW
América Latina y el Caribe,2008,capacity,Hidroenergía,148509.5257,MW
América Latina y el Caribe,2008,capacity,Geotermia,1452.648,MW
América Latina y el Caribe,2008,capacity,Eólica,635.778133,MW
América Latina y el Caribe,2008,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2008,capacity,Solar,2.455299,MW
América Latina y el Caribe,2008,capacity,Térmica no renovable,115618.3799,MW
América Latina y el Caribe,2008,capacity,Térmica renovable,6618.696185,MW
América Latina y el Caribe,2009,capacity,Hidroenergía,150169.3375,MW
América Latina y el Caribe,2009,capacity,Geotermia,1452.648,MW
América Latina y el Caribe,2009,capacity,Eólica,984.578133,MW
América Latina y el Caribe,2009,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2009,capacity,Solar,3.150489,MW
América Latina y el Caribe,2009,capacity,Térmica no renovable,121898.0575,MW
América Latina y el Caribe,2009,capacity,Térmica renovable,7403.877434,MW
América Latina y el Caribe,2010,capacity,Hidroenergía,153005.1822,MW
América Latina y el Caribe,2010,capacity,Geotermia,1452.648,MW
América Latina y el Caribe,2010,capacity,Eólica,1455.414333,MW
América Latina y el Caribe,2010,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2010,capacity,Solar,6.9463839,MW
América Latina y el Caribe,2010,capacity,Térmica no renovable,129539.9723,MW
América Latina y el Caribe,2010,capacity,Térmica renovable,9646.187,MW
América Latina y el Caribe,2011,capacity,Hidroenergía,157003.8513,MW
América Latina y el Caribe,2011,capacity,Geotermia,1419.748,MW
América Latina y el Caribe,2011,capacity,Eólica,2164.133133,MW
América Latina y el Caribe,2011,capacity,Nuclear,4376.88,MW
América Latina y el Caribe,2011,capacity,Solar,10.759478,MW
América Latina y el Caribe,2011,capacity,Térmica no renovable,132967.7433,MW
América Latina y el Caribe,2011,capacity,Térmica renovable,10894.01595,MW
América Latina y el Caribe,2012,capacity,Hidroenergía,160089.7943,MW
América Latina y el Caribe,2012,capacity,Geotermia,1428.498,MW
América Latina y el Caribe,2012,capacity,Eólica,3436.11756,MW
América Latina y el Caribe,2012,capacity,Nuclear,4622,MW
América Latina y el Caribe,2012,capacity,Solar,107.330984,MW
América Latina y el Caribe,2012,capacity,Térmica no renovable,138765.782,MW
América Latina y el Caribe,2012,capacity,Térmica renovable,11965.54026,MW
América Latina y el Caribe,2013,capacity,Hidroenergía,162575.1713,MW
América Latina y el Caribe,2013,capacity,Geotermia,1429.899,MW
América Latina y el Caribe,2013,capacity,Eólica,4971.43185,MW
América Latina y el Caribe,2013,capacity,Nuclear,4400,MW
América Latina y el Caribe,2013,capacity,Solar,180.4923,MW
América Latina y el Caribe,2013,capacity,Térmica no renovable,156420.6808,MW
América Latina y el Caribe,2013,capacity,Térmica renovable,14199.93449,MW
América Latina y el Caribe,2014,capacity,Hidroenergía,168314.2909,MW
América Latina y el Caribe,2014,capacity,Geotermia,1423.315,MW
América Latina y el Caribe,2014,capacity,Eólica,9292.233,MW
América Latina y el Caribe,2014,capacity,Nuclear,4915,MW
América Latina y el Caribe,2014,capacity,Solar,486.5833126,MW
América Latina y el Caribe,2014,capacity,Térmica no renovable,156066.4842,MW
América Latina y el Caribe,2014,capacity,Térmica renovable,16405.8374,MW
América Latina y el Caribe,2015,capacity,Hidroenergía,172792.3467,MW
América Latina y el Caribe,2015,capacity,Geotermia,1493.861,MW
América Latina y el Caribe,2015,capacity,Eólica,13795.65887,MW
América Latina y el Caribe,2015,capacity,Nuclear,5230.3,MW
América Latina y el Caribe,2015,capacity,Solar,1434.685426,MW
América Latina y el Caribe,2015,capacity,Térmica no renovable,160467.6977,MW
América Latina y el Caribe,2015,capacity,Térmica renovable,17889.36415,MW
América Latina y el Caribe,2016,capacity,Hidroenergía,182287.7406,MW
América Latina y el Caribe,2016,capacity,Geotermia,1508.36,MW
América Latina y el Caribe,2016,capacity,Eólica,18032.10212,MW
América Latina y el Caribe,2016,capacity,Nuclear,5353,MW
América Latina y el Caribe,2016,capacity,Solar,2491.627763,MW
América Latina y el Caribe,2016,capacity,Térmica no renovable,168151.2277,MW
América Latina y el Caribe,2016,capacity,Térmica renovable,19663.50164,MW
América Latina y el Caribe,2017,capacity,Hidroenergía,186277.4231,MW
América Latina y el Caribe,2017,capacity,Geotermia,1588.36,MW
América Latina y el Caribe,2017,capacity,Eólica,21094.62846,MW
América Latina y el Caribe,2017,capacity,Nuclear,5353,MW
América Latina y el Caribe,2017,capacity,Solar,5103.445083,MW
